competency_id,competency_code,competency_name,competency_type,avg_growth_Berlin,avg_growth_Brandenburg,avg_growth_Dahme-Spreewald,avg_growth_Deutschland,avg_growth_Oder-Spree,avg_growth_Teltow-Fläming,demand_score_Berlin,demand_score_Brandenburg,demand_score_Dahme-Spreewald,demand_score_Deutschland,demand_score_Oder-Spree,demand_score_Teltow-Fläming,total_jobs_Berlin,total_jobs_Brandenburg,total_jobs_Dahme-Spreewald,total_jobs_Deutschland,total_jobs_Oder-Spree,total_jobs_Teltow-Fläming,demand_score_TH_Wildau
62279,K 030203-022,Verkaufsförderung,E,-0.09442284551014579,0.19687284569358185,-0.009261721783042543,0.016169391627381357,0.4098012817507696,0.8290418157003339,24.3,27.0,29.6,25.0,27.4,24.5,260067.0,113084.0,8618.0,4387669.0,5817.0,10347.0,27.2
60796,K 010205-001,Kundendienst,E,-0.042307482375649644,0.25966588785181216,0.2183293158505156,0.0013772073464148236,0.14837870587818933,0.737280330018442,11.8,22.7,21.6,18.4,26.4,26.5,126095.0,95090.0,6270.0,3230557.0,5599.0,11183.0,24.8
62313,K 030206-007,Büro- und Verwaltungsarbeiten,E,-0.06664318126312581,0.14026171175810262,0.11070165156223084,0.060019504406156145,0.12411736998391204,0.7980407446026875,23.4,25.2,25.1,23.6,25.0,23.6,250672.0,105639.0,7289.0,4153897.0,5298.0,9971.0,24.6
60763,K 010203-010,Reklamationsbearbeitung,E,-0.09057240566969303,0.19977418445619047,-0.03576597000191911,0.04199793175313792,0.4616867207223191,0.65786046171751,11.4,23.5,25.9,18.8,24.5,21.6,121719.0,98320.0,7535.0,3310374.0,5198.0,9111.0,24.0
61269,K 010900-009,"Mess-, Steuer-, Regeltechnik (MSR)",E,-0.009070930427123224,0.3686579698254893,0.3577324358516887,0.026832246830523175,0.288727678100738,0.7710188322104927,11.7,21.9,20.3,18.1,25.6,25.5,125931.0,91530.0,5893.0,3182382.0,5420.0,10787.0,23.8
62372,K 030300-030,Projektmanagement,E,-0.12727472844622362,0.28492833444908233,0.20187622737514194,-0.017830409807399316,0.12672041240423496,0.6350401373408665,32.6,23.8,23.5,26.7,23.0,24.5,348950.0,99660.0,6834.0,4697324.0,4870.0,10330.0,23.7
60006,K 070402,"Bürokommunikation, MS-Office",S,-0.13154601088824508,0.18286467188561603,0.18598697127217187,0.038969527209870174,0.17622328980939572,0.7856801218424441,20.4,23.7,25.1,22.6,22.2,22.8,218690.0,99058.0,7312.0,3976447.0,4711.0,9641.0,23.4
60005,K 070401,"Betriebswirtschafts-, Finanz- und Controllingsoftware",S,-0.13731128340952567,0.18690755956094038,0.13592851282821392,-0.024692944883213653,0.12952787302247384,0.7410555730136835,25.6,22.2,23.0,24.6,21.2,24.5,274460.0,93097.0,6681.0,4333591.0,4506.0,10332.0,22.9
62283,K 030203-026,Vertrieb,E,-0.14400080725033448,0.23922885648407105,-0.0601273677080089,0.0064490266055750745,0.20506483460615002,0.8478566127953171,23.4,22.5,23.2,23.5,22.0,22.1,250809.0,94078.0,6749.0,4131561.0,4659.0,9354.0,22.4
62287,K 030204-002,Betriebsmitteleinsatz planen,E,0.028759487735866923,0.37581224017833376,0.28327237842267183,0.15782545717861637,0.2907923950848228,0.4232589167807317,15.9,19.8,18.8,18.2,21.5,22.9,170026.0,82839.0,5470.0,3193746.0,4554.0,9684.0,21.1
61286,K 010901-012,Elektrotechnik,E,-0.04138026687023945,0.41824199675751494,0.3370758271706251,0.04050301894382742,0.3453044237285339,0.9324257415926087,11.3,19.6,18.3,16.4,22.7,21.9,121427.0,82164.0,5334.0,2886418.0,4823.0,9252.0,21.0
90169,K 030203-030,Social-Media-Kommunikation,E,-0.1817688139551143,0.15557246744869596,0.06740638390006364,-0.04218536612034988,0.15148388683996353,0.615380580356893,38.4,21.0,20.9,25.8,18.7,21.2,411806.0,88016.0,6085.0,4532510.0,3960.0,8970.0,20.3
62196,K 030100-022,Sortimentsgestaltung,E,-0.0685613608995849,0.20373649397032775,-0.009602564733824774,0.03381959252182991,0.5012744798691875,0.8629693194133958,10.4,19.1,21.9,15.5,20.4,17.0,111974.0,79792.0,6360.0,2722622.0,4322.0,7195.0,19.8
62204,K 030100-030,Warenpräsentation,E,0.05313137995471974,0.32820697540693533,0.12127446442066261,0.1906303928735811,0.8183721093577742,0.9006703497499228,8.0,18.8,21.5,14.4,20.0,16.7,85916.0,78526.0,6264.0,2525636.0,4233.0,7051.0,19.4
63197,K 0700-009,"E-Commerce, E-Business",E,-0.1452712424544228,0.24754252417326666,0.00710337090538883,-0.02631346958580924,0.17975812267549687,0.7463881071703528,22.9,18.9,20.0,19.7,18.9,18.3,245102.0,79126.0,5817.0,3456400.0,4016.0,7727.0,19.1
61343,K 010903-019,"Informationstechnik, Computertechnik",E,-0.13242688791386945,0.2931400525943424,0.40096434139031,-0.019412124014156713,0.345260156500931,1.1111006017103338,23.8,17.8,16.2,22.1,19.3,20.2,254981.0,74691.0,4706.0,3887257.0,4093.0,8516.0,18.6
62269,K 030203-012,Kassieren,E,-0.014157025912872243,0.9444722944361742,0.22686081078141554,0.5423685244182597,1.23654364600785,2.25909728046988,6.1,17.5,19.4,12.5,20.3,15.9,65460.0,73175.0,5646.0,2189896.0,4301.0,6695.0,18.5
62390,K 030301-006,Marktforschung,E,-0.1902296905498857,0.22876727743953096,0.008198982086116217,-0.019546795000750038,0.12809135008056546,0.7004195670835242,32.1,19.3,19.8,22.6,17.4,18.4,344209.0,80889.0,5751.0,3973645.0,3693.0,7774.0,18.5
66242,K 1401-010,Belehrung nach Infektionsschutzgesetz (Gesundheitszeugnis),E,0.0191211721539519,0.11416949827841175,-0.0037909039097820028,0.10344631531344983,0.5231336291581403,0.4029367838709106,8.2,16.7,19.1,12.2,19.5,14.8,88070.0,69844.0,5547.0,2137544.0,4139.0,6250.0,17.8
62301,K 030205-008,Personalplanung,E,0.003268981009324961,0.3485412285116432,0.1975976703092064,0.15626093580343914,0.12442604106009432,0.5586921023173729,11.9,16.3,17.6,13.9,17.3,17.3,127885.0,68284.0,5105.0,2450965.0,3671.0,7305.0,17.4
62672,K 0400-034,Logistik,E,-0.1352493106042865,0.18753645056476057,0.053252544305940154,-0.011678431397650714,0.06761456446807486,0.2847540008392029,11.1,14.7,16.8,14.4,13.8,20.8,119349.0,61389.0,4882.0,2532160.0,2936.0,8788.0,17.1
61285,K 010901-011,Elektronik,E,-0.030908829563192505,0.30546882716877055,0.43146317110476345,-0.0007609833262935602,0.195055122642855,0.8682392194706333,9.4,16.0,14.4,13.7,18.3,17.7,100879.0,67097.0,4194.0,2405388.0,3878.0,7466.0,16.8
64576,K 090201-005,Gesundheitsvorsorge (Prävention),E,0.03370229659982866,0.12801561923415936,-0.04631425789336849,0.06234690601378864,-0.09012799308383826,4.185107107133182,9.5,18.6,13.5,12.1,18.6,18.0,101475.0,77702.0,3911.0,2122033.0,3953.0,7585.0,16.7
